experiment_id,protocol_digest,split_id,method_id,operating_point,source_condition,input_view,evaluation_track,data_origin,model_unit_id,fit_job_id,fold_id,train_membership_digest,model_id,train_membership_ref,original_model_ref,original_training_ref,input_id,thresholds,atom_ids,status,train_observed_n,train_expected_n,encoder_model_sha256,origin,postprocess_refit
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.audio_layer.audio_output_latency,[0.0],"[""CONTROL:app.web_data.audio_layer.audio_output_latency:LE:0.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.audio_layer.audio_sample_rate,[48000.0],"[""CONTROL:app.web_data.audio_layer.audio_sample_rate:LE:48000.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.automation_surface_layer.mime_types_count,[0.0],"[""CONTROL:app.web_data.automation_surface_layer.mime_types_count:LE:0.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.automation_surface_layer.plugins_count,[0.0],"[""CONTROL:app.web_data.automation_surface_layer.plugins_count:LE:0.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.execution_layer.timezone_offset,[0.0],"[""CONTROL:app.web_data.execution_layer.timezone_offset:LE:0.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.font_layer.font_probe_count,[5.0],"[""CONTROL:app.web_data.font_layer.font_probe_count:LE:5.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.graphics_layer.webgl_extensions_count,[20.0],"[""CONTROL:app.web_data.graphics_layer.webgl_extensions_count:LE:20.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.graphics_layer.webgl_max_texture_size,[4096.0],"[""CONTROL:app.web_data.graphics_layer.webgl_max_texture_size:LE:4096.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.navigator_layer.device_memory,[2.0],"[""CONTROL:app.web_data.navigator_layer.device_memory:LE:2.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,UNFITTED_CONTROL:app.web_data.navigator_layer.hardware_concurrency,[4.0],"[""CONTROL:app.web_data.navigator_layer.hardware_concurrency:LE:4.0""]",FROZEN,135,135,028659f78dd480090e2d0bac4151260b4f4a96bf4f69055f66acfe1e2fd258c1,SAVED_FROZEN_ENCODER,False
